T_K,T_C,G_cu2o,G_cuo,G_cu,dG_cu2o_formation,dG_cuo_formation,dG_cu2o_per_O2,dG_cuo_per_O2
972.7272727272727,699.5772727272728,-97860.89686957214,-110049.08875149663,-44556.252346452224,-8748.392176667694,-65492.83640504441,-17496.784353335388,-130985.67281008881
981.8181818181819,708.6681818181819,-98401.31240991328,-110512.4808666945,-45142.73283074076,-8115.846748431766,-65369.748035953744,-16231.693496863532,-130739.49607190749
990.909090909091,717.759090909091,-98944.00391730056,-110978.53918849761,-45731.610075584955,-7480.783766130655,-65246.92911291266,-14961.56753226131,-130493.85822582532
1000.0,726.85,-99488.95492845215,-111447.24961671757,-46322.86512688665,-6843.224674678844,-65124.38448983092,-13686.449349357688,-130248.76897966184
1009.0909090909091,735.9409090909091,-100036.14926882903,-111918.5982492896,-46916.479360127436,-6203.190548574159,-65002.118889162164,-12406.381097148318,-130004.23777832433
1018.1818181818182,745.0318181818183,-100585.57104520773,-112392.57137898875,-47512.43447161919,-5560.702101969349,-64880.13690736956,-11121.404203938699,-129760.27381473912
1027.2727272727275,754.1227272727275,-101137.20463850154,-112869.15549017227,-48110.71247006012,-4915.779698381302,-64758.44302011215,-9831.559396762605,-129516.8860402243
1036.3636363636365,763.2136363636365,-101691.03469682042,-113348.33725555104,-48711.29566838349,-4268.443360053439,-64637.04158716755,-8536.886720106879,-129274.0831743351
1045.4545454545455,772.3045454545455,-102247.04612875987,-113830.10353299482,-49314.166675885805,-3618.7127769882645,-64515.936857109016,-7237.425553976529,-129031.87371421803
1054.5454545454545,781.3954545454545,-102805.22409690902,-114314.44136237213,-49919.30839062321,-2966.6073156625935,-64395.13297174892,-5933.214631325187,-128790.26594349784
1063.6363636363637,790.4863636363638,-103365.5540115705,-114801.33796242857,-50526.70399206472,-2312.1460274410492,-64274.63397036385,-4624.2920548820985,-128549.2679407277
1072.7272727272727,799.5772727272728,-103928.02152468197,-115290.78072770455,-51136.33693399127,-1655.347656699436,-64154.44379371328,-3310.695313398872,-128308.88758742657
1081.818181818182,808.668181818182,-104492.61252393291,-115782.75722549515,-51748.19093763108,-996.230648670753,-64034.56628786407,-1992.461297341506,-128069.13257572814
1090.909090909091,817.759090909091,-105059.31312706796,-116277.2551928522,-52362.249985020724,-334.81315702651045,-63915.00520783148,-669.6263140530209,-127830.01041566295
1100.0,826.85,-105628.10967637002,-116774.26253363093,-52978.498312583644,328.8869487972697,-63795.764221047284,657.7738975945394,-127591.52844209457
1109.090909090909,835.940909090909,-106198.98873331677,-117273.76731558135,-53596.92040491684,994.8520765169087,-63676.84691066451,1989.7041530338174,-127353.69382132903
1118.1818181818182,845.0318181818183,-106771.93707340243,-117775.75776748544,-54217.50098877713,1663.0649041518336,-63558.25677870831,3326.1298083036672,-127116.51355741662
