radius_um,time_s,time_label,distance_from_surface_um,radial_position_um,cu_wt_pct
25,1800,30 min,3135.593220338983,3160.593220338983,0.29853024707922815
25,1800,30 min,3220.3389830508477,3245.3389830508477,0.2985836966034539
25,1800,30 min,3305.0847457627124,3330.0847457627124,0.2986329560370455
25,1800,30 min,3389.8305084745766,3414.8305084745766,0.2986783032292799
25,1800,30 min,3474.576271186441,3499.576271186441,0.2987199893511075
25,1800,30 min,3559.3220338983056,3584.3220338983056,0.2987582416722287
25,1800,30 min,3644.06779661017,3669.06779661017,0.29879326634219466
25,1800,30 min,3728.813559322034,3753.813559322034,0.29882525078860617
25,1800,30 min,3813.5593220338983,3838.5593220338983,0.29885436578625874
25,1800,30 min,3898.305084745763,3923.305084745763,0.2988807672513714
25,1800,30 min,3983.0508474576277,4008.0508474576277,0.29890459801991054
25,1800,30 min,4067.7966101694915,4092.7966101694915,0.2989259887586474
25,1800,30 min,4152.542372881357,4177.542372881357,0.29894505929178794
25,1800,30 min,4237.28813559322,4262.28813559322,0.2989619200095095
25,1800,30 min,4322.033898305085,4347.033898305085,0.29897667260386
25,1800,30 min,4406.779661016949,4431.779661016949,0.29898941090164305
25,1800,30 min,4491.525423728814,4516.525423728814,0.2990002215978626
25,1800,30 min,4576.271186440678,4601.271186440678,0.29900918491332457
25,1800,30 min,4661.016949152543,4686.016949152543,0.2990163751795975
25,1800,30 min,4745.762711864408,4770.762711864408,0.2990218613611192
25,1800,30 min,4830.5084745762715,4855.5084745762715,0.29902570752380814
25,1800,30 min,4915.254237288136,4940.254237288136,0.29902797325302405
25,1800,30 min,5000.0,5025.0,0.2990287140307848
50,60,1 min,0.0,50.0,0.010000000000000024
50,60,1 min,84.74576271186442,134.74576271186442,0.21803111433437722
50,60,1 min,169.49152542372883,219.49152542372883,0.25964437219926145
50,60,1 min,254.23728813559322,304.2372881355932,0.27558463257107546
50,60,1 min,338.98305084745766,388.98305084745766,0.2837845366261135
50,60,1 min,423.7288135593221,473.7288135593221,0.28868857637709655
50,60,1 min,508.47457627118644,558.4745762711864,0.29188786053688015
