temp_K,radius_um,time_s,time_label,distance_from_surface_um,radial_position_um,cu_wt_pct
1723,250,60,1 min,4067.7966101694915,4317.796610169491,0.30000000000000016
1723,250,60,1 min,4152.542372881357,4402.542372881357,0.29999999999999927
1723,250,60,1 min,4237.28813559322,4487.28813559322,0.30000000000000016
1723,250,60,1 min,4322.033898305085,4572.033898305085,0.29999999999999927
1723,250,60,1 min,4406.779661016949,4656.779661016949,0.30000000000000016
1723,250,60,1 min,4491.525423728814,4741.525423728814,0.29999999999999977
1723,250,60,1 min,4576.271186440678,4826.271186440678,0.29999999999999954
1723,250,60,1 min,4661.016949152543,4911.016949152543,0.3000000000000001
1723,250,60,1 min,4745.762711864408,4995.762711864408,0.3
1723,250,60,1 min,4830.5084745762715,5080.5084745762715,0.2999999999999995
1723,250,60,1 min,4915.254237288136,5165.254237288136,0.2999999999999998
1723,250,60,1 min,5000.0,5250.0,0.2999999999999993
1723,250,300,5 min,0.0,250.0,0.010000000000000005
1723,250,300,5 min,84.74576271186442,334.7457627118644,0.2989664499364797
1723,250,300,5 min,169.49152542372883,419.49152542372883,0.3001589762107847
1723,250,300,5 min,254.23728813559322,504.2372881355932,0.2999708609066462
1723,250,300,5 min,338.98305084745766,588.9830508474577,0.30000583918815305
1723,250,300,5 min,423.7288135593221,673.7288135593221,0.29999876601533154
1723,250,300,5 min,508.47457627118644,758.4745762711864,0.30000027008393293
1723,250,300,5 min,593.220338983051,843.220338983051,0.2999999394026221
1723,250,300,5 min,677.9661016949153,927.9661016949153,0.3000000138483779
1723,250,300,5 min,762.7118644067797,1012.7118644067797,0.2999999967900946
1723,250,300,5 min,847.4576271186442,1097.4576271186443,0.3000000007523997
1723,250,300,5 min,932.2033898305085,1182.2033898305085,0.29999999982203296
1723,250,300,5 min,1016.9491525423729,1266.9491525423728,0.3000000000424092
1723,250,300,5 min,1101.6949152542372,1351.6949152542372,0.2999999999898307
1723,250,300,5 min,1186.440677966102,1436.440677966102,0.30000000000245053
1723,250,300,5 min,1271.1864406779662,1521.1864406779662,0.29999999999940663
1723,250,300,5 min,1355.9322033898306,1605.9322033898306,0.3000000000001436
1723,250,300,5 min,1440.677966101695,1690.677966101695,0.2999999999999648
